# Corpus pinned by upstream commit. Regenerate: scripts/manifest.py
# Never edit by hand; baseline/*.tsv numbers are only valid against these bytes.
# origin	aman	https://github.com/hhu-stups/AMAN-abstraction-example@1376af673eab5f96c0408328ba76dde2e07b65e4 Abstraction/
# origin	ertms	https://github.com/eventB-Soton/ERTMS-HL3@6b81638c95ab6cd2397c846ed78f78e6adb5780f developments/HL3_abz2018.zip HL3/
project	file	bytes	sha256
ertms	Env_M0.bps	4781	b11e5c775347629143573d3b86fce0cc13e60f3512592568f2dc27afdd2c21ff
ertms	Env_M0.bum	21294	7b680bd36ea2d229cf5b57bd022b77d20a09c43f577a179f6957d84fca1d45f6
ertms	Env_M1.bpo	59068	f8c444b619d880495aae645a72a08211dfee923918cac7d3e645a737cc0b6788
ertms	Env_M1.bps	3220	d3df041d8400e045ed4eae93cee3a2ea2bab2bbcfe8a5833900b66d80e31fd25
ertms	Env_M1.bum	27218	37368e0714e88ba58397d47da8e5b53451021f45c6b5293bf95dd7c74ca5b8d4
ertms	Env_M2.bpo	58830	b2aa10a82f8eb95779403c3cacc77fca82e4eb2bee27b21d8597a3fff1d51878
ertms	Env_M2.bps	1861	a689a3ad1720117448376a957eceb2a901207caa98dd309362c647d0271727f4
ertms	Env_M2.bum	25451	de01d0f3460887120c43706b83b5fe5614f2a3e6a093c56ce0d70b77f55dd01e
ertms	Env_M3.bpo	191222	492a352573e640cc6a9366735d52c68d49df1916bc5149bba4f6f9748470d1c6
ertms	Env_M3.bps	12920	3ce80d65e9050fddb1b24dec6b1d8b62cf9543ead90b078fe64f13fef9df9e80
ertms	Env_M3.bum	53572	4b204a892c2e31df2d7db8b32fbf65e698da6d5b0d7e0e741d614d766d4c184f
ertms	ProB_Ctxt.bpo	12010	f1cbca9a786139617fd8ff2d46d9085835e8992497f8a403fbd2f541634849fd
ertms	ProB_Ctxt.bps	64	cc3713fd1d32c68ba2854244857aeb0cd0d116046563b176bca02961234b6922
ertms	ProB_Ctxt.buc	7416	4af9e692aa1823d5ce4ecf209ef5892e72cb0c3e52af1d1a39a41da0b8e82207
ertms	VBD_M4.bpo	146442	6a1c1557770446a89496fd91379d4d69bd36c872f423ec938192dcb8f572ab12
ertms	VBD_M4.bps	7810	a307b2d970e182ed984ea27bed1dd88366e5d8daec7604c754fa5e9c23efadaf
ertms	VBD_M4.bum	57106	b1158292c56a479bac17643b6a5d7718a787e31b7434879edc0c08aace0519a5
ertms	VBD_M5.bpo	119623	552306cca7533713fab0bc7aa5593c48b3289c5b41a3ad8a217b031fe84eae5e
ertms	VBD_M5.bps	4477	105651b8def1ead0be44970fcc38b450dc70210f49fe08818d8d2b3039d56edb
ertms	VBD_M5.bum	56581	92f8b471d423aaeeccd88db735afce8a3c3f63c837a541408241ad602903238a
ertms	VBD_M6.bpo	132786	3f33526fb0a8a88689bf51d81564820cf8da221698bc77ee6bc2553c14493015
ertms	VBD_M6.bps	5278	0c386f3f691283adc1deffc2edc5a100e7b737ae0815dd71a0fb1fb203225fd4
ertms	VBD_M6.bum	67895	8f274c9c3b9e99d77e5e131ac3e0b0e396896b29871eb2c05b3351cd85db4cd2
